                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                 1.3436,                 1.3638,                 1.5689,                 1.4416,                 1.6098,                 1.5894,                0.49005,                0.41597,                0.38847,                0.23109,                 1.6486,                 2.0838,                 1.8859,                 1.7148,                 2.4207,                 1.8506,              0.0013962,              0.0013962,              0.0013962
                     24,                 1.3183,                  1.357,                 1.5664,                 1.4244,                 1.6031,                 1.5815,                0.50915,                0.36199,                0.35386,                0.21983,                 1.6284,                 2.1501,                 1.8437,                 1.6548,                 2.4457,                   1.81,              0.0013833,              0.0013833,              0.0013833
                     25,                 1.3023,                 1.3224,                  1.547,                 1.3947,                 1.5709,                 1.5532,                0.52627,                0.40135,                 0.3832,                0.24158,                 1.5449,                 2.0583,                 1.8209,                 1.6115,                 2.4209,                 1.7939,              0.0013705,              0.0013705,              0.0013705
                     26,                 1.2801,                 1.2698,                  1.542,                 1.3807,                 1.5377,                 1.5506,                0.35625,                0.42037,                 0.3127,                0.18278,                 1.7535,                 2.3198,                 1.8957,                 1.7825,                 2.6386,                 1.8563,              0.0013576,              0.0013576,              0.0013576
                     27,                 1.3002,                 1.2734,                  1.542,                 1.4035,                 1.5094,                 1.5512,                0.58578,                0.34101,                0.38864,                0.24357,                  1.517,                 2.1345,                  1.779,                 1.6024,                  2.432,                  1.743,              0.0013447,              0.0013447,              0.0013447
                     28,                 1.2536,                 1.2653,                 1.5162,                 1.3667,                 1.4919,                 1.5328,                0.56161,                0.41239,                0.40223,                0.24358,                 1.5565,                 2.0404,                 1.7956,                 1.5984,                 2.4324,                 1.7691,              0.0013318,              0.0013318,              0.0013318
                     29,                 1.2279,                 1.2328,                 1.4989,                 1.3456,                 1.4453,                 1.5172,                0.59555,                0.34153,                0.40587,                 0.2614,                 1.5568,                  2.054,                 1.7902,                 1.6157,                 2.4223,                 1.7639,              0.0013189,              0.0013189,              0.0013189
                     30,                 1.2391,                 1.2229,                 1.5076,                 1.3635,                 1.4325,                 1.5186,                0.46909,                0.45001,                 0.4162,                0.26246,                 1.4939,                 1.8963,                 1.7436,                 1.5576,                  2.229,                 1.7244,               0.001306,               0.001306,               0.001306
                     31,                 1.2273,                 1.1892,                 1.4807,                 1.3326,                 1.3877,                 1.4861,                0.55554,                0.34906,                0.37891,                0.26325,                 1.5081,                 2.2348,                 1.7629,                 1.5876,                 2.4817,                 1.7673,              0.0012931,              0.0012931,              0.0012931
                     32,                 1.1978,                 1.1965,                 1.4591,                 1.3078,                 1.4026,                 1.4815,                0.48605,                0.40504,                0.43156,                 0.2766,                  1.455,                  1.929,                 1.7514,                  1.539,                 2.2729,                  1.726,              0.0012802,              0.0012802,              0.0012802
                     33,                 1.1773,                 1.1711,                 1.4764,                 1.2787,                 1.3985,                 1.4957,                0.49156,                0.39723,                0.40642,                0.27325,                 1.4745,                 2.1022,                 1.7232,                  1.596,                  2.445,                 1.7807,              0.0012673,              0.0012673,              0.0012673
                     34,                 1.1801,                  1.194,                 1.4701,                 1.2861,                  1.427,                 1.4929,                0.56258,                0.39833,                0.43429,                0.28966,                 1.5051,                  2.042,                 1.7464,                 1.6002,                 2.2281,                 1.7667,              0.0012544,              0.0012544,              0.0012544
                     35,                 1.1787,                  1.154,                 1.4549,                 1.2887,                 1.3749,                 1.4694,                0.68185,                0.35688,                0.39072,                0.27663,                 1.4491,                 2.0872,                 1.7731,                 1.5593,                 2.5929,                  1.774,              0.0012415,              0.0012415,              0.0012415
                     36,                 1.1431,                 1.1191,                 1.4384,                 1.2568,                  1.342,                 1.4606,                0.59835,                0.43388,                0.46428,                0.31721,                 1.3586,                 1.8858,                 1.6556,                 1.4083,                 2.1767,                 1.6444,              0.0012286,              0.0012286,              0.0012286
                     37,                   1.16,                 1.1282,                 1.4511,                 1.2691,                 1.3606,                 1.4808,                0.50663,                0.47962,                0.42581,                0.29546,                 1.4594,                 1.9492,                 1.7087,                 1.5734,                 2.3388,                 1.7648,              0.0012157,              0.0012157,              0.0012157
                     38,                 1.1182,                 1.1012,                 1.4122,                 1.2326,                 1.3147,                 1.4323,                0.52694,                0.45249,                0.44813,                0.30441,                 1.4481,                 1.8431,                 1.7286,                 1.5243,                 2.1863,                 1.6827,              0.0012028,              0.0012028,              0.0012028
                     39,                 1.1136,                 1.0838,                   1.41,                 1.2291,                 1.3215,                 1.4394,                0.53753,                0.33452,                0.37933,                0.25824,                 1.5125,                 2.0406,                 1.8302,                 1.5758,                  2.484,                 1.7681,                0.00119,                0.00119,                0.00119
                     40,                 1.1027,                 1.0795,                 1.4021,                 1.2214,                 1.3094,                 1.4266,                0.54781,                0.44615,                0.43316,                0.29115,                 1.3998,                 1.9206,                 1.6725,                   1.51,                 2.3064,                 1.6934,              0.0011771,              0.0011771,              0.0011771
