                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                 1.4996,                  1.285,                 1.4164,                 1.8837,                 1.8525,                 1.3648,                0.41752,                0.38718,                0.28172,                0.16272,                 1.5944,                 1.7022,                 1.3966,                 2.0149,                 2.4882,                 1.3729,              0.0013962,              0.0013962,              0.0013962
                     24,                 1.5138,                 1.2893,                 1.4192,                 1.8667,                 1.8337,                 1.3671,                0.40685,                0.34722,                0.25803,                0.15858,                 1.5108,                  1.984,                 1.3603,                  1.901,                 2.7736,                 1.3405,              0.0013833,              0.0013833,              0.0013833
                     25,                 1.4539,                 1.2316,                 1.3819,                 1.8308,                 1.7717,                 1.3386,                0.47328,                0.34836,                0.32253,                 0.1993,                 1.5419,                 1.5957,                 1.3676,                 1.9101,                 2.3557,                 1.3471,              0.0013705,              0.0013705,              0.0013705
                     26,                 1.4704,                  1.223,                 1.3903,                 1.8426,                 1.7484,                 1.3479,                0.44046,                0.35536,                0.29676,                0.17456,                 1.5559,                 1.7472,                 1.3667,                  2.006,                 2.5309,                 1.3679,              0.0013576,              0.0013576,              0.0013576
                     27,                 1.4709,                 1.2395,                 1.4045,                  1.845,                   1.78,                 1.3594,                0.39222,                 0.3782,                0.28853,                0.17485,                 1.6159,                 1.7328,                 1.4172,                 1.9931,                  2.499,                 1.3486,              0.0013447,              0.0013447,              0.0013447
                     28,                 1.4453,                 1.2391,                  1.385,                 1.7955,                 1.7802,                 1.3353,                0.44087,                0.37587,                0.30384,                0.18278,                 1.6316,                 1.7793,                 1.4383,                 1.9683,                 2.5269,                 1.3759,              0.0013318,              0.0013318,              0.0013318
                     29,                  1.439,                 1.2014,                 1.3606,                 1.8037,                 1.7372,                 1.3173,                0.47109,                0.34073,                0.29622,                 0.1775,                 1.5344,                 1.6488,                 1.3876,                 1.9301,                 2.5159,                 1.3526,              0.0013189,              0.0013189,              0.0013189
                     30,                 1.4367,                 1.1786,                 1.3642,                 1.7918,                 1.6883,                 1.3268,                0.48165,                0.34125,                0.30478,                0.18913,                 1.5176,                 1.6055,                 1.3546,                 1.9054,                 2.2691,                 1.3381,               0.001306,               0.001306,               0.001306
                     31,                 1.4112,                 1.1723,                 1.3637,                 1.7887,                 1.7079,                  1.324,                0.45233,                0.37885,                 0.2861,                0.17424,                 1.5667,                 1.6905,                 1.3896,                 1.9308,                 2.3646,                 1.3588,              0.0012931,              0.0012931,              0.0012931
                     32,                 1.4394,                  1.152,                 1.3391,                 1.8064,                 1.6905,                  1.296,                0.42701,                  0.359,                0.29209,                0.18303,                 1.5205,                 1.6602,                 1.3596,                 1.9035,                 2.3835,                 1.3221,              0.0012802,              0.0012802,              0.0012802
                     33,                 1.4182,                 1.1665,                 1.3442,                 1.7866,                 1.6833,                 1.3082,                0.47754,                 0.3557,                0.31046,                0.19071,                 1.5275,                  1.642,                 1.3681,                 1.9342,                 2.3686,                 1.3479,              0.0012673,              0.0012673,              0.0012673
                     34,                  1.386,                 1.1279,                 1.3298,                 1.7544,                  1.643,                 1.2884,                0.45394,                0.39594,                0.32464,                0.19955,                 1.5154,                 1.4806,                  1.349,                 1.8719,                 2.1617,                 1.3243,              0.0012544,              0.0012544,              0.0012544
                     35,                 1.3799,                 1.1344,                 1.3284,                 1.7699,                 1.6917,                 1.2958,                0.45809,                0.38806,                0.31929,                0.19891,                 1.5063,                 1.5789,                 1.3529,                 1.8759,                 2.4133,                  1.321,              0.0012415,              0.0012415,              0.0012415
                     36,                 1.3872,                 1.1098,                 1.3272,                 1.7553,                 1.6402,                 1.2993,                0.49949,                0.36002,                0.30886,                0.18462,                 1.5483,                 1.6121,                 1.3757,                 1.9259,                 2.3217,                  1.345,              0.0012286,              0.0012286,              0.0012286
                     37,                 1.3625,                 1.1078,                 1.3196,                 1.7374,                 1.6138,                 1.2847,                0.45308,                0.35864,                 0.2985,                0.17766,                 1.5397,                 1.6678,                 1.3785,                 1.9427,                 2.4123,                 1.3258,              0.0012157,              0.0012157,              0.0012157
                     38,                 1.3424,                 1.0689,                  1.315,                 1.7008,                 1.5728,                 1.2885,                0.41961,                0.36766,                0.29282,                0.17498,                 1.5476,                 1.6007,                 1.4123,                 1.9174,                 2.2823,                 1.3422,              0.0012028,              0.0012028,              0.0012028
                     39,                 1.3649,                 1.0668,                 1.3101,                 1.7185,                 1.5631,                 1.2854,                0.45756,                0.36873,                0.28093,                0.17483,                 1.5318,                  1.574,                 1.3878,                 1.8882,                 2.2661,                 1.3382,                0.00119,                0.00119,                0.00119
                     40,                 1.3624,                 1.1077,                 1.3225,                 1.7407,                 1.6691,                 1.2906,                0.46413,                0.36054,                0.30157,                0.18691,                 1.5522,                 1.5364,                 1.3854,                 1.9167,                  2.246,                 1.3326,              0.0011771,              0.0011771,              0.0011771
                     41,                 1.3509,                 1.0508,                 1.3133,                 1.7136,                  1.572,                 1.2848,                0.50221,                0.38156,                0.32417,                0.20158,                 1.5376,                 1.4529,                  1.394,                  1.878,                 2.1333,                 1.3365,              0.0011642,              0.0011642,              0.0011642
                     42,                 1.3412,                 1.0792,                 1.3042,                 1.7141,                 1.5832,                 1.2752,                0.52812,                0.36873,                0.34753,                0.20998,                 1.5089,                 1.5622,                 1.3626,                 1.8959,                 2.3751,                 1.3003,              0.0011513,              0.0011513,              0.0011513
                     43,                 1.3305,                 1.0556,                 1.2928,                 1.7302,                 1.5904,                 1.2654,                0.44254,                0.36341,                0.31529,                0.19306,                 1.5608,                 1.5547,                  1.384,                 1.9245,                 2.2828,                 1.3386,              0.0011384,              0.0011384,              0.0011384
                     44,                   1.33,                 1.0378,                 1.2983,                 1.7016,                 1.5377,                 1.2667,                0.47638,                0.33723,                0.29989,                0.19139,                 1.5026,                  1.647,                 1.3667,                 1.9226,                 2.4545,                 1.3244,              0.0011255,              0.0011255,              0.0011255
                     45,                 1.3281,                 1.0496,                 1.3131,                 1.7069,                 1.5582,                 1.2856,                0.46213,                0.43037,                0.34796,                0.21664,                 1.4412,                 1.4068,                 1.3363,                 1.8628,                 2.1387,                 1.3017,              0.0011126,              0.0011126,              0.0011126
                     46,                 1.3123,                 1.0294,                 1.2965,                 1.6915,                 1.5502,                 1.2722,                0.42905,                0.39027,                0.32821,                0.20573,                  1.492,                  1.537,                 1.3496,                  1.898,                 2.2226,                 1.3209,              0.0010997,              0.0010997,              0.0010997
